COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1984,639.48
ALB,,ALL,1985,639.87
ALB,,ALL,1986,693.87
ALB,,ALL,1987,674.79
ALB,,ALL,1988,652.77
ALB,,ALL,1989,698
ALB,,ALL,1990,617.23
ALB,,ALL,1991,336.59
ALB,,ALL,1992,200.85
ALB,,ALL,1993,367.28
ALB,,ALL,1994,586.42
ALB,,ALL,1995,750.6
ALB,,ALL,1996,1009.98
ALB,,ALL,1997,717.38
ALB,,ALL,1998,813.79
ALB,,ALL,1999,1033.24
ALB,,ALL,2000,1126.68
ALB,,ALL,2001,1281.66
ALB,,ALL,2002,1425.12
ALB,,ALL,2003,1846.12
ALB,,ALL,2004,2373.58
ALB,,ALL,2005,2673.79
ALB,,ALL,2006,2972.74
ALB,,ALL,2007,3595.04
ALB,,ALL,2008,4370.54
ALB,,ALL,2009,4114.13
ALB,,ALL,2010,4094.35
ALB,,ALL,2011,4437.14
ALB,,ALL,2012,4247.63
ALB,,ALL,2013,4413.06
ALB,,ALL,2014,4578.63
ALB,,ALL,2015,3952.8
ALB,,ALL,2016,4124.06
ALB,,ALL,2017,4531.02
ALB,,ALL,2018,5287.66
ALB,,ALL,2019,5396.22
ALB,,ALL,2020,5332.16
ALB,,ALL,2021,6494.39
AND,,ALL,1970,3238.69
AND,,ALL,1971,3496.53
AND,,ALL,1972,4218.27
AND,,ALL,1973,5342.17
AND,,ALL,1974,6320.81
AND,,ALL,1975,7169.1
AND,,ALL,1976,7151.25
AND,,ALL,1977,7751.84
AND,,ALL,1978,9127.81
AND,,ALL,1979,11818.47
AND,,ALL,1980,12378.78
AND,,ALL,1981,10372.79
AND,,ALL,1982,9610.02
AND,,ALL,1983,8025.21
AND,,ALL,1984,7728.91
AND,,ALL,1985,7775.61
AND,,ALL,1986,10361.15
AND,,ALL,1987,12615.13
AND,,ALL,1988,14304.64
AND,,ALL,1989,15165.28
AND,,ALL,1990,18878.85
AND,,ALL,1991,19534.26
AND,,ALL,1992,20549.81
AND,,ALL,1993,16515.66
AND,,ALL,1994,16235.07
AND,,ALL,1995,18458.17
AND,,ALL,1996,19016.29
AND,,ALL,1997,18355.63
AND,,ALL,1998,18895.11
AND,,ALL,1999,19262.31
AND,,ALL,2000,21854.25
AND,,ALL,2001,22970.51
AND,,ALL,2002,25067.24
AND,,ALL,2003,32272.85
AND,,ALL,2004,37966.19
AND,,ALL,2005,40064.22
AND,,ALL,2006,42674.76
AND,,ALL,2007,47804.85
AND,,ALL,2008,48719.66
AND,,ALL,2009,43504.22
AND,,ALL,2010,40849.76
AND,,ALL,2011,43333.97
AND,,ALL,2012,38684.57
AND,,ALL,2013,39538.36
AND,,ALL,2014,41302.38
AND,,ALL,2015,35770.92
AND,,ALL,2016,37474.75
AND,,ALL,2017,38964.66
AND,,ALL,2018,41793.32
AND,,ALL,2019,40898.42
AND,,ALL,2020,37416.7
AND,,ALL,2021,43047.69
ARM,,ALL,1990,637.86
ARM,,ALL,1991,590.51
ARM,,ALL,1992,369.71
ARM,,ALL,1993,357.2
ARM,,ALL,1994,400.52
ARM,,ALL,1995,456.37
ARM,,ALL,1996,504.06
ARM,,ALL,1997,523.28
ARM,,ALL,1998,609.17
ARM,,ALL,1999,597.43
ARM,,ALL,2000,622.74
ARM,,ALL,2001,694.42
ARM,,ALL,2002,783.24
ARM,,ALL,2003,930.13
ARM,,ALL,2004,1191.92
ARM,,ALL,2005,1643.76
ARM,,ALL,2006,2158.15
ARM,,ALL,2007,3139.28
ARM,,ALL,2008,4010.86
ARM,,ALL,2009,2994.34
ARM,,ALL,2010,3218.38
ARM,,ALL,2011,3525.81
ARM,,ALL,2012,3681.84
ARM,,ALL,2013,3838.17
ARM,,ALL,2014,3986.23
ARM,,ALL,2015,3607.29
ARM,,ALL,2016,3591.83
ARM,,ALL,2017,3914.53
ARM,,ALL,2018,4220.54
ARM,,ALL,2019,4604.65
ARM,,ALL,2020,4266.02
ARM,,ALL,2021,4670.01
AUT,,ALL,1970,2058.77
AUT,,ALL,1971,2380.98
AUT,,ALL,1972,2924.05
AUT,,ALL,1973,3890.72
AUT,,ALL,1974,4630.76
AUT,,ALL,1975,5285.62
AUT,,ALL,1976,5678.39
AUT,,ALL,1977,6810.63
AUT,,ALL,1978,8205.47
AUT,,ALL,1979,9793.77
AUT,,ALL,1980,10869.55
AUT,,ALL,1981,9385.25
AUT,,ALL,1982,9410.35
AUT,,ALL,1983,9537.41
AUT,,ALL,1984,8991.07
AUT,,ALL,1985,9172.1
AUT,,ALL,1986,13083.07
AUT,,ALL,1987,16392.77
AUT,,ALL,1988,17578.62
AUT,,ALL,1989,17468.95
AUT,,ALL,1990,21680.99
AUT,,ALL,1991,22410.91
AUT,,ALL,1992,24880.16
AUT,,ALL,1993,24081.53
AUT,,ALL,1994,25646.7
AUT,,ALL,1995,30325.85
AUT,,ALL,1996,29809.08
AUT,,ALL,1997,26705.48
AUT,,ALL,1998,27361.88
AUT,,ALL,1999,27183.48
AUT,,ALL,2000,24625.6
AUT,,ALL,2001,24558.76
AUT,,ALL,2002,26527.59
AUT,,ALL,2003,32294.05
AUT,,ALL,2004,36889.23
AUT,,ALL,2005,38417.46
AUT,,ALL,2006,40669.33
AUT,,ALL,2007,46915.34
AUT,,ALL,2008,51919.98
AUT,,ALL,2009,48153.32
AUT,,ALL,2010,46903.76
AUT,,ALL,2011,51442.28
AUT,,ALL,2012,48564.92
AUT,,ALL,2013,50731.13
AUT,,ALL,2014,51786.38
AUT,,ALL,2015,44195.82
AUT,,ALL,2016,45307.59
AUT,,ALL,2017,47429.16
AUT,,ALL,2018,51486.58
AUT,,ALL,2019,50114.4
AUT,,ALL,2020,48588.66
AUT,,ALL,2021,53267.93
AZE,,ALL,1990,1234.53
AZE,,ALL,1991,1209.19
AZE,,ALL,1992,60.46
AZE,,ALL,1993,209.48
AZE,,ALL,1994,157.09
AZE,,ALL,1995,314.56
AZE,,ALL,1996,409.16
AZE,,ALL,1997,505.5
AZE,,ALL,1998,561.91
AZE,,ALL,1999,573.92
AZE,,ALL,2000,655.12
AZE,,ALL,2001,703.68
AZE,,ALL,2002,763.08
AZE,,ALL,2003,883.73
AZE,,ALL,2004,1045.01
AZE,,ALL,2005,1578.4
