COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1995,51.03
ALB,,ALL,1996,58.07
ALB,,ALL,1997,61.48
ALB,,ALL,1998,72.24
ALB,,ALL,1999,96.38
ALB,,ALL,2000,94.94
ALB,,ALL,2001,105.39
ALB,,ALL,2002,108.42
ALB,,ALL,2003,116.89
ALB,,ALL,2004,151.97
ALB,,ALL,2005,168.33
ALB,,ALL,2006,181.4
ALB,,ALL,2007,198.64
ALB,,ALL,2008,234.58
ALB,,ALL,2009,264.59
ALB,,ALL,2010,231.14
ALB,,ALL,2011,276.45
ALB,,ALL,2012,266.27
ALB,,ALL,2013,282.87
ALB,,ALL,2014,306.73
AND,,ALL,1995,946.96
AND,,ALL,1996,1054.23
AND,,ALL,1997,1195.17
AND,,ALL,1998,1678.28
AND,,ALL,1999,1208.43
AND,,ALL,2000,1267.25
AND,,ALL,2001,1316.06
AND,,ALL,2002,1446.1
AND,,ALL,2003,1479.84
AND,,ALL,2004,1545.28
AND,,ALL,2005,1463.87
AND,,ALL,2006,1629.45
AND,,ALL,2007,2169.09
AND,,ALL,2008,2138.14
AND,,ALL,2009,2180.92
AND,,ALL,2010,2594.73
AND,,ALL,2011,2048.98
AND,,ALL,2012,2609.16
AND,,ALL,2013,4698.93
AND,,ALL,2014,3333.77
ARM,,ALL,1995,31.58
ARM,,ALL,1996,28.08
ARM,,ALL,1997,25.91
ARM,,ALL,1998,33.1
ARM,,ALL,1999,34.24
ARM,,ALL,2000,26.31
ARM,,ALL,2001,41.47
ARM,,ALL,2002,40.94
ARM,,ALL,2003,53.24
ARM,,ALL,2004,56.15
ARM,,ALL,2005,89.85
ARM,,ALL,2006,113.44
ARM,,ALL,2007,136.11
ARM,,ALL,2008,125.26
ARM,,ALL,2009,123.78
ARM,,ALL,2010,122.6
ARM,,ALL,2011,131.91
ARM,,ALL,2012,138.77
ARM,,ALL,2013,150.7
ARM,,ALL,2014,155.65
AUT,,ALL,1995,1681.64
AUT,,ALL,1996,1731.78
AUT,,ALL,1997,1840.89
AUT,,ALL,1998,1961.37
AUT,,ALL,1999,2081.96
AUT,,ALL,2000,2182.05
AUT,,ALL,2001,2185.77
AUT,,ALL,2002,2322.7
AUT,,ALL,2003,2432.77
AUT,,ALL,2004,2569.51
AUT,,ALL,2005,2642.04
AUT,,ALL,2006,2836.94
AUT,,ALL,2007,2965.93
AUT,,ALL,2008,3192.44
AUT,,ALL,2009,3323.66
AUT,,ALL,2010,3408.68
AUT,,ALL,2011,3512.81
AUT,,ALL,2012,3665.01
AUT,,ALL,2013,3674.44
AUT,,ALL,2014,3923.47
AZE,,ALL,1995,33.32
AZE,,ALL,1996,36.3
AZE,,ALL,1997,32.02
AZE,,ALL,1998,25.99
AZE,,ALL,1999,30.65
AZE,,ALL,2000,30.38
AZE,,ALL,2001,33.03
AZE,,ALL,2002,34.33
AZE,,ALL,2003,40.36
AZE,,ALL,2004,56.03
AZE,,ALL,2005,61.89
AZE,,ALL,2006,83.21
AZE,,ALL,2007,119.77
AZE,,ALL,2008,112.45
AZE,,ALL,2009,198.78
AZE,,ALL,2010,181.62
AZE,,ALL,2011,169.3
AZE,,ALL,2012,197.12
AZE,,ALL,2013,197.1
AZE,,ALL,2014,213.55
BEL,,ALL,1995,1316.02
BEL,,ALL,1996,1414.07
BEL,,ALL,1997,1397.02
BEL,,ALL,1998,1439.08
BEL,,ALL,1999,1529.3
BEL,,ALL,2000,1677.98
BEL,,ALL,2001,1788.25
BEL,,ALL,2002,1880.58
BEL,,ALL,2003,2103.06
BEL,,ALL,2004,2228.5
BEL,,ALL,2005,2296.92
BEL,,ALL,2006,2393.11
BEL,,ALL,2007,2487.72
BEL,,ALL,2008,2749.93
BEL,,ALL,2009,2969.36
BEL,,ALL,2010,3034.7
BEL,,ALL,2011,3200.3
BEL,,ALL,2012,3291.48
BEL,,ALL,2013,3317.94
BEL,,ALL,2014,3419.68
BGR,,ALL,1995,214.69
BGR,,ALL,1996,167.71
BGR,,ALL,1997,183.18
BGR,,ALL,1998,199.13
BGR,,ALL,1999,223.92
BGR,,ALL,2000,234.13
BGR,,ALL,2001,286.62
BGR,,ALL,2002,352.09
BGR,,ALL,2003,388.18
BGR,,ALL,2004,396.11
BGR,,ALL,2005,439.59
BGR,,ALL,2006,439.11
BGR,,ALL,2007,495.2
BGR,,ALL,2008,576.07
BGR,,ALL,2009,556.42
BGR,,ALL,2010,606.03
BGR,,ALL,2011,584.97
BGR,,ALL,2012,636.75
BGR,,ALL,2013,660.53
BGR,,ALL,2014,763.42
BIH,,ALL,1995,41.76
BIH,,ALL,1996,107.91
BIH,,ALL,1997,113.52
BIH,,ALL,1998,125.93
BIH,,ALL,1999,193.34
BIH,,ALL,2000,178.94
BIH,,ALL,2001,204.03
BIH,,ALL,2002,223.79
BIH,,ALL,2003,294.5
BIH,,ALL,2004,301.86
BIH,,ALL,2005,312.04
BIH,,ALL,2006,365.27
BIH,,ALL,2007,428.12
BIH,,ALL,2008,511.31
BIH,,ALL,2009,591.19
BIH,,ALL,2010,606.6
BIH,,ALL,2011,652.31
BIH,,ALL,2012,675.23
BIH,,ALL,2013,643.88
BIH,,ALL,2014,681.45
BLR,,ALL,1995,185.01
BLR,,ALL,1996,190.35
BLR,,ALL,1997,250.11
BLR,,ALL,1998,232.65
BLR,,ALL,1999,252.15
BLR,,ALL,2000,269.1
BLR,,ALL,2001,297.12
BLR,,ALL,2002,306.95
