COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1995,1.71
ALB,,ALL,1996,1.75
ALB,,ALL,1997,2.02
ALB,,ALL,1998,2.1
ALB,,ALL,1999,2.51
ALB,,ALL,2000,2.26
ALB,,ALL,2001,2.29
ALB,,ALL,2002,2.26
ALB,,ALL,2003,2.25
ALB,,ALL,2004,2.68
ALB,,ALL,2005,2.71
ALB,,ALL,2006,2.58
ALB,,ALL,2007,2.63
ALB,,ALL,2008,2.69
ALB,,ALL,2009,2.83
ALB,,ALL,2010,2.48
ALB,,ALL,2011,2.85
ALB,,ALL,2012,2.74
ALB,,ALL,2013,2.84
ALB,,ALL,2014,2.94
AND,,ALL,1995,3.98
AND,,ALL,1996,4.24
AND,,ALL,1997,4.3
AND,,ALL,1998,5.74
AND,,ALL,1999,3.93
AND,,ALL,2000,3.98
AND,,ALL,2001,3.98
AND,,ALL,2002,4.11
AND,,ALL,2003,3.95
AND,,ALL,2004,3.92
AND,,ALL,2005,3.46
AND,,ALL,2006,3.57
AND,,ALL,2007,4.59
AND,,ALL,2008,4.83
AND,,ALL,2009,5.04
AND,,ALL,2010,6.24
AND,,ALL,2011,4.93
AND,,ALL,2012,5.75
AND,,ALL,2013,9.69
AND,,ALL,2014,6.34
ARM,,ALL,1995,2
ARM,,ALL,1996,1.62
ARM,,ALL,1997,1.41
ARM,,ALL,1998,1.64
ARM,,ALL,1999,1.61
ARM,,ALL,2000,1.14
ARM,,ALL,2001,1.59
ARM,,ALL,2002,1.36
ARM,,ALL,2003,1.52
ARM,,ALL,2004,1.4
ARM,,ALL,2005,1.91
ARM,,ALL,2006,2.05
ARM,,ALL,2007,2.1
ARM,,ALL,2008,1.76
ARM,,ALL,2009,2.01
ARM,,ALL,2010,1.92
ARM,,ALL,2011,1.94
ARM,,ALL,2012,1.88
ARM,,ALL,2013,1.95
ARM,,ALL,2014,1.93
AUT,,ALL,1995,7.14
AUT,,ALL,1996,7.1
AUT,,ALL,1997,7.36
AUT,,ALL,1998,7.48
AUT,,ALL,1999,7.65
AUT,,ALL,2000,7.54
AUT,,ALL,2001,7.5
AUT,,ALL,2002,7.61
AUT,,ALL,2003,7.74
AUT,,ALL,2004,7.79
AUT,,ALL,2005,7.83
AUT,,ALL,2006,7.74
AUT,,ALL,2007,7.78
AUT,,ALL,2008,8
AUT,,ALL,2009,8.47
AUT,,ALL,2010,8.4
AUT,,ALL,2011,8.21
AUT,,ALL,2012,8.42
AUT,,ALL,2013,8.37
AUT,,ALL,2014,8.73
AZE,,ALL,1995,1.39
AZE,,ALL,1996,1.49
AZE,,ALL,1997,1.23
AZE,,ALL,1998,0.9
AZE,,ALL,1999,0.99
AZE,,ALL,2000,0.87
AZE,,ALL,2001,0.85
AZE,,ALL,2002,0.79
AZE,,ALL,2003,0.83
AZE,,ALL,2004,1.03
AZE,,ALL,2005,0.88
AZE,,ALL,2006,0.86
AZE,,ALL,2007,0.98
AZE,,ALL,2008,0.82
AZE,,ALL,2009,1.34
AZE,,ALL,2010,1.17
AZE,,ALL,2011,1.08
AZE,,ALL,2012,1.21
AZE,,ALL,2013,1.15
AZE,,ALL,2014,1.23
BEL,,ALL,1995,5.85
BEL,,ALL,1996,6.18
BEL,,ALL,1997,5.85
BEL,,ALL,1998,5.9
BEL,,ALL,1999,6.02
BEL,,ALL,2000,6.06
BEL,,ALL,2001,6.25
BEL,,ALL,2002,6.24
BEL,,ALL,2003,6.92
BEL,,ALL,2004,7.13
BEL,,ALL,2005,7.11
BEL,,ALL,2006,6.96
BEL,,ALL,2007,6.95
BEL,,ALL,2008,7.4
BEL,,ALL,2009,8.04
BEL,,ALL,2010,7.9
BEL,,ALL,2011,8.01
BEL,,ALL,2012,8.19
BEL,,ALL,2013,8.23
BEL,,ALL,2014,8.25
BGR,,ALL,1995,3.52
BGR,,ALL,1996,3.18
BGR,,ALL,1997,3.4
BGR,,ALL,1998,3.26
BGR,,ALL,1999,3.88
BGR,,ALL,2000,3.7
BGR,,ALL,2001,4.22
BGR,,ALL,2002,4.54
BGR,,ALL,2003,4.62
BGR,,ALL,2004,4.31
BGR,,ALL,2005,4.31
BGR,,ALL,2006,3.8
BGR,,ALL,2007,3.73
BGR,,ALL,2008,3.87
BGR,,ALL,2009,3.75
BGR,,ALL,2010,4.03
BGR,,ALL,2011,3.76
BGR,,ALL,2012,4
BGR,,ALL,2013,4.12
BGR,,ALL,2014,4.61
BIH,,ALL,1995,3.35
BIH,,ALL,1996,4.8
BIH,,ALL,1997,3.5
BIH,,ALL,1998,3.33
BIH,,ALL,1999,4.73
BIH,,ALL,2000,4.03
BIH,,ALL,2001,4.31
BIH,,ALL,2002,4.42
BIH,,ALL,2003,5.48
BIH,,ALL,2004,5.17
BIH,,ALL,2005,4.87
BIH,,ALL,2006,4.98
BIH,,ALL,2007,5.33
BIH,,ALL,2008,5.81
BIH,,ALL,2009,6.8
BIH,,ALL,2010,6.79
BIH,,ALL,2011,6.92
BIH,,ALL,2012,7.08
BIH,,ALL,2013,6.63
BIH,,ALL,2014,6.81
BLR,,ALL,1995,4.79
BLR,,ALL,1996,4.7
BLR,,ALL,1997,5.43
BLR,,ALL,1998,4.59
BLR,,ALL,1999,4.72
BLR,,ALL,2000,4.63
BLR,,ALL,2001,4.74
BLR,,ALL,2002,4.56
BLR,,ALL,2003,4.87
BLR,,ALL,2004,4.92
BLR,,ALL,2005,5.02
BLR,,ALL,2006,4.45
BLR,,ALL,2007,4.45
BLR,,ALL,2008,3.87
BLR,,ALL,2009,3.9
BLR,,ALL,2010,4.31
BLR,,ALL,2011,3.47
BLR,,ALL,2012,3.87
BLR,,ALL,2013,4.02
BLR,,ALL,2014,3.74
,CARINFONET,ALL,1995,2.97
,CARINFONET,ALL,1996,2.94
,CARINFONET,ALL,1997,2.98
,CARINFONET,ALL,1998,2.8
,CARINFONET,ALL,1999,2.39
,CARINFONET,ALL,2000,2.25
,CARINFONET,ALL,2001,2.19
,CARINFONET,ALL,2002,2.1
,CARINFONET,ALL,2003,2.11
,CARINFONET,ALL,2004,2.13
,CARINFONET,ALL,2005,2.19
,CARINFONET,ALL,2006,2.26
,CARINFONET,ALL,2007,2.06
,CARINFONET,ALL,2008,2.24
,CARINFONET,ALL,2009,2.47
,CARINFONET,ALL,2010,2.52
,CARINFONET,ALL,2011,2.52
,CARINFONET,ALL,2012,2.74
,CARINFONET,ALL,2013,2.68
,CARINFONET,ALL,2014,2.68
CHE,,ALL,1995,5
CHE,,ALL,1996,5.29
CHE,,ALL,1997,5.31
CHE,,ALL,1998,5.38
CHE,,ALL,1999,5.52
CHE,,ALL,2000,5.49
CHE,,ALL,2001,5.85
CHE,,ALL,2002,6.12
CHE,,ALL,2003,6.38
CHE,,ALL,2004,6.4
CHE,,ALL,2005,6.46
CHE,,ALL,2006,6.14
CHE,,ALL,2007,6.03
CHE,,ALL,2008,6.7
CHE,,ALL,2009,7.21
CHE,,ALL,2010,7.1
CHE,,ALL,2011,7.2
CHE,,ALL,2012,7.5
CHE,,ALL,2013,7.73
CHE,,ALL,2014,7.7
,CIS,ALL,1995,3.94
,CIS,ALL,1996,3.89
,CIS,ALL,1997,4.35
,CIS,ALL,1998,3.75
,CIS,ALL,1999,3.16
,CIS,ALL,2000,2.94
,CIS,ALL,2001,3.01
,CIS,ALL,2002,3.17
,CIS,ALL,2003,3.15
,CIS,ALL,2004,3.02
,CIS,ALL,2005,3.1
,CIS,ALL,2006,3.17
,CIS,ALL,2007,3.19
,CIS,ALL,2008,3.22
,CIS,ALL,2009,3.7
,CIS,ALL,2010,3.49
,CIS,ALL,2011,3.28
,CIS,ALL,2012,3.52
,CIS,ALL,2013,3.46
,CIS,ALL,2014,3.36
CYP,,ALL,1995,1.7
CYP,,ALL,1996,1.77
CYP,,ALL,1997,1.95
CYP,,ALL,1998,2.34
CYP,,ALL,1999,2.39
CYP,,ALL,2000,2.4
CYP,,ALL,2001,2.45
CYP,,ALL,2002,2.75
CYP,,ALL,2003,3.08
CYP,,ALL,2004,2.81
CYP,,ALL,2005,2.66
CYP,,ALL,2006,2.66
CYP,,ALL,2007,2.58
CYP,,ALL,2008,2.85
CYP,,ALL,2009,3.31
CYP,,ALL,2010,3.43
CYP,,ALL,2011,3.51
CYP,,ALL,2012,3.41
CYP,,ALL,2013,3.47
CYP,,ALL,2014,3.33
CZE,,ALL,1995,6.08
CZE,,ALL,1996,5.81
CZE,,ALL,1997,5.78
CZE,,ALL,1998,5.8
CZE,,ALL,1999,5.74
CZE,,ALL,2000,5.7
CZE,,ALL,2001,5.76
CZE,,ALL,2002,6.15
CZE,,ALL,2003,6.4
CZE,,ALL,2004,6.15
CZE,,ALL,2005,6.05
CZE,,ALL,2006,5.81
CZE,,ALL,2007,5.56
CZE,,ALL,2008,5.63
CZE,,ALL,2009,6.57
CZE,,ALL,2010,6.22
CZE,,ALL,2011,6.31
CZE,,ALL,2012,6.34
CZE,,ALL,2013,6.31
CZE,,ALL,2014,6.26
DEU,,ALL,1995,7.68
DEU,,ALL,1996,8.12
DEU,,ALL,1997,8.09
DEU,,ALL,1998,8.04
DEU,,ALL,1999,8.01
DEU,,ALL,2000,8
DEU,,ALL,2001,8.03
DEU,,ALL,2002,8.18
DEU,,ALL,2003,8.29
DEU,,ALL,2004,7.92
DEU,,ALL,2005,8.01
DEU,,ALL,2006,7.86
DEU,,ALL,2007,7.73
DEU,,ALL,2008,7.9
DEU,,ALL,2009,8.71
DEU,,ALL,2010,8.58
DEU,,ALL,2011,8.31
DEU,,ALL,2012,8.36
DEU,,ALL,2013,8.57
DEU,,ALL,2014,8.7
DNK,,ALL,1995,6.71
DNK,,ALL,1996,6.77
DNK,,ALL,1997,6.71
DNK,,ALL,1998,6.69
DNK,,ALL,1999,7.52
DNK,,ALL,2000,7.3
DNK,,ALL,2001,7.66
DNK,,ALL,2002,7.89
DNK,,ALL,2003,8.04
DNK,,ALL,2004,8.15
DNK,,ALL,2005,8.25
DNK,,ALL,2006,8.4
DNK,,ALL,2007,8.43
DNK,,ALL,2008,8.62
DNK,,ALL,2009,9.76
DNK,,ALL,2010,9.43
DNK,,ALL,2011,9.27
DNK,,ALL,2012,9.42
DNK,,ALL,2013,9.59
DNK,,ALL,2014,9.16
ESP,,ALL,1995,5.37
ESP,,ALL,1996,5.4
ESP,,ALL,1997,5.31
ESP,,ALL,1998,5.28
ESP,,ALL,1999,5.27
ESP,,ALL,2000,5.17
ESP,,ALL,2001,5.16
ESP,,ALL,2002,5.17
ESP,,ALL,2003,5.73
ESP,,ALL,2004,5.8
ESP,,ALL,2005,5.88
ESP,,ALL,2006,6.01
ESP,,ALL,2007,6.1
ESP,,ALL,2008,6.51
ESP,,ALL,2009,7.21
ESP,,ALL,2010,7.17
ESP,,ALL,2011,7
ESP,,ALL,2012,6.73
ESP,,ALL,2013,6.5
ESP,,ALL,2014,6.4
EST,,ALL,1995,5.67
EST,,ALL,1996,5.81
EST,,ALL,1997,5.52
EST,,ALL,1998,4.8
EST,,ALL,1999,4.54
EST,,ALL,2000,4.08
EST,,ALL,2001,3.82
EST,,ALL,2002,3.74
EST,,ALL,2003,3.78
EST,,ALL,2004,3.88
EST,,ALL,2005,3.85
EST,,ALL,2006,3.67
EST,,ALL,2007,3.9
EST,,ALL,2008,4.71
EST,,ALL,2009,5.22
EST,,ALL,2010,4.93
EST,,ALL,2011,4.63
EST,,ALL,2012,5.12
EST,,ALL,2013,5.14
EST,,ALL,2014,5.03
,EU_AFTER_MAY2004,ALL,1995,4.17
,EU_AFTER_MAY2004,ALL,1996,4.21
,EU_AFTER_MAY2004,ALL,1997,4.25
,EU_AFTER_MAY2004,ALL,1998,4.11
,EU_AFTER_MAY2004,ALL,1999,4.35
,EU_AFTER_MAY2004,ALL,2000,4.26
,EU_AFTER_MAY2004,ALL,2001,4.4
,EU_AFTER_MAY2004,ALL,2002,4.62
,EU_AFTER_MAY2004,ALL,2003,4.84
,EU_AFTER_MAY2004,ALL,2004,4.62
,EU_AFTER_MAY2004,ALL,2005,4.74
,EU_AFTER_MAY2004,ALL,2006,4.61
,EU_AFTER_MAY2004,ALL,2007,4.64
,EU_AFTER_MAY2004,ALL,2008,4.89
,EU_AFTER_MAY2004,ALL,2009,5.13
,EU_AFTER_MAY2004,ALL,2010,5.09
,EU_AFTER_MAY2004,ALL,2011,4.89
,EU_AFTER_MAY2004,ALL,2012,4.86
,EU_AFTER_MAY2004,ALL,2013,4.87
,EU_AFTER_MAY2004,ALL,2014,4.9
,EU_BEFORE_MAY2004,ALL,1995,6.33
,EU_BEFORE_MAY2004,ALL,1996,6.45
,EU_BEFORE_MAY2004,ALL,1997,6.38
,EU_BEFORE_MAY2004,ALL,1998,6.35
,EU_BEFORE_MAY2004,ALL,1999,6.41
,EU_BEFORE_MAY2004,ALL,2000,6.46
,EU_BEFORE_MAY2004,ALL,2001,6.61
,EU_BEFORE_MAY2004,ALL,2002,6.78
,EU_BEFORE_MAY2004,ALL,2003,6.94
,EU_BEFORE_MAY2004,ALL,2004,6.98
,EU_BEFORE_MAY2004,ALL,2005,7.15
,EU_BEFORE_MAY2004,ALL,2006,7.2
,EU_BEFORE_MAY2004,ALL,2007,7.12
,EU_BEFORE_MAY2004,ALL,2008,7.39
,EU_BEFORE_MAY2004,ALL,2009,8.07
,EU_BEFORE_MAY2004,ALL,2010,7.96
,EU_BEFORE_MAY2004,ALL,2011,7.87
,EU_BEFORE_MAY2004,ALL,2012,7.88
,EU_BEFORE_MAY2004,ALL,2013,7.9
,EU_BEFORE_MAY2004,ALL,2014,7.87
,EU_MEMBERS,ALL,1995,5.86
,EU_MEMBERS,ALL,1996,5.98
