COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ALB,,ALL,1995,31.07
ALB,,ALL,1996,26.35
ALB,,ALL,1997,29.97
ALB,,ALL,1998,33.26
ALB,,ALL,1999,34.92
ALB,,ALL,2000,31.91
ALB,,ALL,2001,31.61
ALB,,ALL,2002,31.37
ALB,,ALL,2003,29.01
ALB,,ALL,2004,29.2
ALB,,ALL,2005,27.99
ALB,,ALL,2006,28.48
ALB,,ALL,2007,29.61
ALB,,ALL,2008,32.2
ALB,,ALL,2009,33.48
ALB,,ALL,2010,29.26
ALB,,ALL,2011,28.92
ALB,,ALL,2012,28.17
ALB,,ALL,2013,29.05
ALB,,ALL,2014,31.34
AND,,ALL,1995,16.9
AND,,ALL,1996,17.77
AND,,ALL,1997,18.49
AND,,ALL,1998,19.99
AND,,ALL,1999,18.93
AND,,ALL,2000,20.84
AND,,ALL,2001,20.69
AND,,ALL,2002,20.56
AND,,ALL,2003,17.96
AND,,ALL,2004,17.25
AND,,ALL,2005,17.75
AND,,ALL,2006,18.4
AND,,ALL,2007,20.07
AND,,ALL,2008,20.07
AND,,ALL,2009,20.07
AND,,ALL,2010,25.96
AND,,ALL,2011,25.51
AND,,ALL,2012,30.43
AND,,ALL,2013,43.41
AND,,ALL,2014,22.72
ARM,,ALL,1995,24.04
ARM,,ALL,1996,19.22
ARM,,ALL,1997,17.41
ARM,,ALL,1998,21.42
ARM,,ALL,1999,24.57
ARM,,ALL,2000,21.61
ARM,,ALL,2001,20.78
ARM,,ALL,2002,19.37
ARM,,ALL,2003,19.25
ARM,,ALL,2004,17.5
ARM,,ALL,2005,18.61
ARM,,ALL,2006,18.12
ARM,,ALL,2007,20.15
ARM,,ALL,2008,25.2
ARM,,ALL,2009,29.91
ARM,,ALL,2010,27.6
ARM,,ALL,2011,26.21
ARM,,ALL,2012,25.21
ARM,,ALL,2013,26.76
ARM,,ALL,2014,27.34
AUT,,ALL,1995,56.31
AUT,,ALL,1996,55.86
AUT,,ALL,1997,53.47
AUT,,ALL,1998,53.71
AUT,,ALL,1999,53.42
AUT,,ALL,2000,51.94
AUT,,ALL,2001,51.29
AUT,,ALL,2002,50.67
AUT,,ALL,2003,51.32
AUT,,ALL,2004,53.76
AUT,,ALL,2005,49.99
AUT,,ALL,2006,49.14
AUT,,ALL,2007,48.6
AUT,,ALL,2008,49.34
AUT,,ALL,2009,52.61
AUT,,ALL,2010,52.81
AUT,,ALL,2011,50.76
AUT,,ALL,2012,51.65
AUT,,ALL,2013,51.26
AUT,,ALL,2014,53.62
AZE,,ALL,1995,20.07
AZE,,ALL,1996,17.63
AZE,,ALL,1997,18.64
AZE,,ALL,1998,15.35
AZE,,ALL,1999,17.26
AZE,,ALL,2000,16.19
AZE,,ALL,2001,15.19
AZE,,ALL,2002,15.37
AZE,,ALL,2003,17.28
AZE,,ALL,2004,17.37
AZE,,ALL,2005,17.1
AZE,,ALL,2006,20.22
AZE,,ALL,2007,21.46
AZE,,ALL,2008,26.84
AZE,,ALL,2009,29.5
AZE,,ALL,2010,27.71
AZE,,ALL,2011,29.56
AZE,,ALL,2012,31.81
AZE,,ALL,2013,32.9
AZE,,ALL,2014,31.71
BEL,,ALL,1995,52.1
BEL,,ALL,1996,52.42
BEL,,ALL,1997,51.16
BEL,,ALL,1998,50.36
BEL,,ALL,1999,50.12
BEL,,ALL,2000,49.08
BEL,,ALL,2001,49.11
BEL,,ALL,2002,49.77
BEL,,ALL,2003,51.04
BEL,,ALL,2004,49.17
BEL,,ALL,2005,51.87
BEL,,ALL,2006,48.48
BEL,,ALL,2007,48.24
BEL,,ALL,2008,49.8
BEL,,ALL,2009,53.74
BEL,,ALL,2010,52.64
BEL,,ALL,2011,53.56
BEL,,ALL,2012,55.12
BEL,,ALL,2013,54.49
BEL,,ALL,2014,54.65
BGR,,ALL,1995,41.28
BGR,,ALL,1996,43.09
BGR,,ALL,1997,30.46
BGR,,ALL,1998,34.7
BGR,,ALL,1999,39.89
BGR,,ALL,2000,41.09
BGR,,ALL,2001,40.53
BGR,,ALL,2002,39.21
BGR,,ALL,2003,38.7
BGR,,ALL,2004,37.91
BGR,,ALL,2005,36.81
BGR,,ALL,2006,33.73
BGR,,ALL,2007,37.41
BGR,,ALL,2008,36.95
BGR,,ALL,2009,39.46
BGR,,ALL,2010,36.6
BGR,,ALL,2011,34.11
BGR,,ALL,2012,34.67
BGR,,ALL,2013,37.64
BGR,,ALL,2014,42.07
BIH,,ALL,1995,36.75
BIH,,ALL,1996,52.68
BIH,,ALL,1997,38.39
BIH,,ALL,1998,42.72
BIH,,ALL,1999,45.59
BIH,,ALL,2000,35.6
BIH,,ALL,2001,45.88
BIH,,ALL,2002,51.53
BIH,,ALL,2003,54.35
BIH,,ALL,2004,50.19
BIH,,ALL,2005,46.18
BIH,,ALL,2006,44.81
BIH,,ALL,2007,48.63
BIH,,ALL,2008,50.64
BIH,,ALL,2009,49.54
BIH,,ALL,2010,49.67
BIH,,ALL,2011,47.98
BIH,,ALL,2012,48.14
BIH,,ALL,2013,47
BIH,,ALL,2014,48.3
BLR,,ALL,1995,41.66
BLR,,ALL,1996,41
BLR,,ALL,1997,44.79
BLR,,ALL,1998,45.41
BLR,,ALL,1999,47.31
BLR,,ALL,2000,45.87
BLR,,ALL,2001,46.81
BLR,,ALL,2002,46.39
BLR,,ALL,2003,47.22
BLR,,ALL,2004,45.65
BLR,,ALL,2005,48.04
BLR,,ALL,2006,47
BLR,,ALL,2007,49.02
BLR,,ALL,2008,49.16
BLR,,ALL,2009,46.39
BLR,,ALL,2010,32.21
BLR,,ALL,2011,26.73
BLR,,ALL,2012,29.26
BLR,,ALL,2013,28.92
BLR,,ALL,2014,27.12
,CARINFONET,ALL,1995,29.84
,CARINFONET,ALL,1996,28.12
,CARINFONET,ALL,1997,26
,CARINFONET,ALL,1998,26.72
,CARINFONET,ALL,1999,25.04
,CARINFONET,ALL,2000,24.3
,CARINFONET,ALL,2001,23.04
,CARINFONET,ALL,2002,27.65
,CARINFONET,ALL,2003,26.57
,CARINFONET,ALL,2004,25.74
,CARINFONET,ALL,2005,26.71
,CARINFONET,ALL,2006,20.56
,CARINFONET,ALL,2007,22.16
,CARINFONET,ALL,2008,28.28
,CARINFONET,ALL,2009,28.49
,CARINFONET,ALL,2010,27.24
,CARINFONET,ALL,2011,27.32
,CARINFONET,ALL,2012,27.75
,CARINFONET,ALL,2013,27.09
,CARINFONET,ALL,2014,26.14
CHE,,ALL,1995,34.76
CHE,,ALL,1996,35.23
CHE,,ALL,1997,35.29
CHE,,ALL,1998,35.44
CHE,,ALL,1999,34.74
CHE,,ALL,2000,35.59
CHE,,ALL,2001,34.82
CHE,,ALL,2002,36.93
CHE,,ALL,2003,36.34
CHE,,ALL,2004,35.9
CHE,,ALL,2005,35.21
CHE,,ALL,2006,33.24
CHE,,ALL,2007,32.07
CHE,,ALL,2008,32.08
CHE,,ALL,2009,34.14
CHE,,ALL,2010,33.85
CHE,,ALL,2011,33.66
CHE,,ALL,2012,34.07
CHE,,ALL,2013,34.28
CHE,,ALL,2014,33.89
,CIS,ALL,1995,39.92
,CIS,ALL,1996,39.99
,CIS,ALL,1997,40.09
,CIS,ALL,1998,36.17
,CIS,ALL,1999,32.12
,CIS,ALL,2000,26.39
,CIS,ALL,2001,26.54
,CIS,ALL,2002,29.79
,CIS,ALL,2003,29.11
,CIS,ALL,2004,27.72
,CIS,ALL,2005,28.55
,CIS,ALL,2006,29.24
,CIS,ALL,2007,30.96
,CIS,ALL,2008,32.75
,CIS,ALL,2009,36.89
,CIS,ALL,2010,34.44
,CIS,ALL,2011,32.61
,CIS,ALL,2012,34.15
,CIS,ALL,2013,34.09
,CIS,ALL,2014,34.23
CYP,,ALL,1995,33.4
CYP,,ALL,1996,35.38
CYP,,ALL,1997,36.45
CYP,,ALL,1998,36.67
CYP,,ALL,1999,36.67
CYP,,ALL,2000,37.07
CYP,,ALL,2001,37.96
CYP,,ALL,2002,40
CYP,,ALL,2003,44.56
CYP,,ALL,2004,42.41
CYP,,ALL,2005,43.12
CYP,,ALL,2006,42.57
CYP,,ALL,2007,41.33
CYP,,ALL,2008,42.13
CYP,,ALL,2009,46.25
CYP,,ALL,2010,46.17
CYP,,ALL,2011,46.27
CYP,,ALL,2012,45.76
CYP,,ALL,2013,45.76
CYP,,ALL,2014,43.93
CZE,,ALL,1995,53.01
CZE,,ALL,1996,41.67
CZE,,ALL,1997,42.57
CZE,,ALL,1998,42.96
CZE,,ALL,1999,42.22
CZE,,ALL,2000,41.65
CZE,,ALL,2001,43.9
CZE,,ALL,2002,45.6
CZE,,ALL,2003,50
CZE,,ALL,2004,43.28
CZE,,ALL,2005,43.01
CZE,,ALL,2006,41.97
CZE,,ALL,2007,41.04
CZE,,ALL,2008,41.15
CZE,,ALL,2009,44.68
CZE,,ALL,2010,43.74
CZE,,ALL,2011,43.16
CZE,,ALL,2012,44.51
CZE,,ALL,2013,42.35
CZE,,ALL,2014,42.03
DEU,,ALL,1995,54.66
DEU,,ALL,1996,48.94
DEU,,ALL,1997,48.06
DEU,,ALL,1998,47.69
DEU,,ALL,1999,47.69
DEU,,ALL,2000,44.75
DEU,,ALL,2001,46.91
DEU,,ALL,2002,47.26
DEU,,ALL,2003,47.82
DEU,,ALL,2004,46.31
DEU,,ALL,2005,46.2
DEU,,ALL,2006,44.7
DEU,,ALL,2007,42.82
DEU,,ALL,2008,43.57
DEU,,ALL,2009,47.58
DEU,,ALL,2010,47.26
DEU,,ALL,2011,44.71
DEU,,ALL,2012,44.45
DEU,,ALL,2013,44.51
DEU,,ALL,2014,44.27
DNK,,ALL,1995,59.28
DNK,,ALL,1996,58.91
DNK,,ALL,1997,56.68
DNK,,ALL,1998,56.33
DNK,,ALL,1999,55.5
DNK,,ALL,2000,53.67
DNK,,ALL,2001,54.19
DNK,,ALL,2002,54.58
DNK,,ALL,2003,55.07
DNK,,ALL,2004,54.55
DNK,,ALL,2005,52.79
DNK,,ALL,2006,51.59
DNK,,ALL,2007,50.81
DNK,,ALL,2008,51.52
DNK,,ALL,2009,58.09
DNK,,ALL,2010,57.73
DNK,,ALL,2011,57.72
DNK,,ALL,2012,59.42
DNK,,ALL,2013,57.2
DNK,,ALL,2014,54.61
ESP,,ALL,1995,44.44
ESP,,ALL,1996,43.21
ESP,,ALL,1997,41.63
ESP,,ALL,1998,41.06
ESP,,ALL,1999,39.91
ESP,,ALL,2000,39.19
ESP,,ALL,2001,38.66
ESP,,ALL,2002,38.91
ESP,,ALL,2003,38.41
ESP,,ALL,2004,38.89
ESP,,ALL,2005,38.44
ESP,,ALL,2006,38.35
ESP,,ALL,2007,39.15
ESP,,ALL,2008,41.4
ESP,,ALL,2009,46.2
ESP,,ALL,2010,46.31
ESP,,ALL,2011,45.73
ESP,,ALL,2012,47.8
ESP,,ALL,2013,44.83
ESP,,ALL,2014,44.13
EST,,ALL,1995,41.26
EST,,ALL,1996,39.45
EST,,ALL,1997,37.4
EST,,ALL,1998,39.2
EST,,ALL,1999,40.15
EST,,ALL,2000,36.08
EST,,ALL,2001,34.79
EST,,ALL,2002,35.75
EST,,ALL,2003,34.8
EST,,ALL,2004,33.96
EST,,ALL,2005,33.58
EST,,ALL,2006,33.59
EST,,ALL,2007,33.97
EST,,ALL,2008,39.66
EST,,ALL,2009,44.74
EST,,ALL,2010,40.02
EST,,ALL,2011,37.6
EST,,ALL,2012,39.37
EST,,ALL,2013,37.95
EST,,ALL,2014,37.14
,EU_AFTER_MAY2004,ALL,1995,44.81
,EU_AFTER_MAY2004,ALL,1996,44.6
,EU_AFTER_MAY2004,ALL,1997,42.63
,EU_AFTER_MAY2004,ALL,1998,42.47
,EU_AFTER_MAY2004,ALL,1999,43
,EU_AFTER_MAY2004,ALL,2000,42.27
,EU_AFTER_MAY2004,ALL,2001,42.41
